City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,palangkaraya,-2.2,113.8333,24.18,85,80,1.16,ID,1695578307
250,puerto aysen,-45.4,-72.7,8.27,72,81,1.78,CL,1695578307
251,nova sintra,14.8667,-24.7167,24.42,78,90,5.35,CV,1695578308
252,grand falls-windsor,48.9332,-55.6649,17.5,66,54,1.6,CA,1695578308
253,malvan,16.0667,73.4667,26.66,86,100,4.42,IN,1695578308
254,mossel bay,-34.1831,22.146,15.96,94,100,14.27,ZA,1695578308
255,puerto ayacucho,5.6639,-67.6236,31.89,60,87,1.27,VE,1695578308
256,frontera,26.9333,-101.45,36.85,37,0,2.68,MX,1695578309
257,corumba,-19.0092,-57.6533,37.95,37,20,3.55,BR,1695578309
258,aasiaat,68.7098,-52.8699,-0.94,58,95,2.38,GL,1695578309
259,belyy yar,53.6039,91.3903,4.94,75,0,2.0,RU,1695578309
260,nishinoomote,30.7333,131.0,27.17,79,67,7.54,JP,1695578309
261,anar darah,32.7587,61.654,19.07,25,0,9.62,AF,1695578310
262,lagos,6.5833,3.75,24.24,90,87,1.88,NG,1695578126
263,ewo,-0.8725,14.8206,25.64,79,75,1.81,CG,1695578310
264,el galpon,-25.3807,-64.6526,30.27,49,95,2.14,AR,1695578310
265,kushiro,42.975,144.3747,13.6,86,9,0.67,JP,1695578310
266,alvorada,-12.48,-49.1247,42.25,9,3,1.11,BR,1695578311
267,sao felix do xingu,-6.6447,-51.995,40.27,17,23,2.27,BR,1695578311
268,ta`u,-14.2336,-169.5144,25.34,71,100,11.16,AS,1695578311
269,olyokminsk,60.3736,120.4264,7.57,94,96,0.53,RU,1695578311
270,melfort,52.8667,-104.6177,21.59,48,10,4.63,CA,1695578312
271,naraina,26.7833,75.2,28.27,64,69,2.73,IN,1695578312
272,kavaratti,10.5669,72.642,28.02,78,95,4.88,IN,1695578312
273,paide,58.8856,25.5572,10.75,88,10,3.13,EE,1695578312
274,pacasmayo,-7.4006,-79.5714,23.05,72,71,6.94,PE,1695578312
275,callao,-12.0667,-77.15,23.18,82,100,3.6,PE,1695578313
276,usogorsk,63.4106,48.6872,15.19,91,98,4.93,RU,1695578313
277,fish town,5.1964,-7.8756,22.64,97,85,2.54,LR,1695578313
278,lensk,60.7253,114.9278,8.89,83,13,0.63,RU,1695578313
279,qaqortoq,60.7167,-46.0333,3.26,52,97,2.65,GL,1695578313
280,along,28.1667,94.7667,21.69,97,76,0.73,IN,1695578314
281,beypazari,40.1675,31.9211,23.43,31,0,2.62,TR,1695578314
282,tinghir,31.5157,-5.5343,30.12,10,0,5.12,MA,1695578314
283,prado,-17.3411,-39.2208,26.93,71,6,7.42,BR,1695578314
284,hermosillo,29.0667,-110.9667,38.49,22,0,1.83,MX,1695578244
285,jamestown,42.097,-79.2353,16.77,96,100,3.09,US,1695578282
286,ust'-ilimsk,58.0006,102.6619,3.56,80,95,0.79,RU,1695578315
287,buckingham,51.9997,-0.9878,18.32,80,93,2.24,GB,1695578315
288,antsiranana,-12.2787,49.2917,23.38,77,8,8.19,MG,1695578315
289,fujin,47.26,132.0322,11.86,73,100,2.78,CN,1695578316
290,general acha,-37.377,-64.6043,17.78,32,99,3.74,AR,1695578316
291,cam ranh,11.9214,109.1591,25.98,94,75,0.51,VN,1695578316
292,andergrove,-21.0833,149.1833,18.69,73,54,7.55,AU,1695578316
293,happy valley-goose bay,53.3168,-60.3315,11.17,87,75,4.12,CA,1695578317
294,nishifukuma,33.7667,130.4667,21.0,74,56,2.26,JP,1695578317
295,merizo village,13.2658,144.6691,27.31,96,26,3.8,GU,1695578317
296,aldan,58.6031,125.3894,5.15,91,18,0.59,RU,1695578317
297,deder,9.3167,41.45,15.49,84,87,3.43,ET,1695578317
298,codrington,-38.2667,141.9667,11.12,83,79,2.67,AU,1695578318
299,bouafle,6.9904,-5.7442,27.01,94,69,1.26,CI,1695578318
300,hilo,19.7297,-155.09,24.6,93,100,2.06,US,1695578275
301,mount pearl,47.5166,-52.7813,16.92,72,75,3.6,CA,1695578318
302,polyarnyy,69.1989,33.4478,6.6,76,96,3.02,RU,1695578318
